Name,Number in Deck,Play,Effect,Flavor Text,Type,Expansion,Faction,Promissory Note Owner
Ancient Burial Sites,1,At the start of the agenda phase:,Choose 1 player. Exhaust each cultural planet owned by that player.,The images depicted a race that Rin had never seen before. Curious. Could it be that this was a race that was exterminated by the Lazax?,Action Card,Base,Any,
Assassinate Representative,1,After an agenda is revealed:,Choose 1 player. That player cannot vote on this agenda.,"With a sickening crunch of bone and metal, unit.desgn.FLAYESH extracted its stinger from the blood-drenched skull of the Jol-Nar councilor.",Action Card,Base,Any,
Bribery,1,After the speaker votes on an agenda:,"Spend any number of trade goods. For each trade good spent, cast 1 additional vote for the outcome on which you voted.","""We think that this initiative would spell disaster for the galaxy, not just the Creuss."" Taivra said, quietly slipping Z'eu an envelope. ""Don't you agree?""",Action Card,Base,Any,
Bunker,1,At the start of an invasion:,"During this invasion, apply -4 to the result of each Bombardment roll against planets you control.","Elder Junn crossed his arms and steadied his breathing. The bombs could not reach them, not this far down. At least, that is what the soldiers had told him.",Action Card,Base,Any,
Confusing Legal Text,1,When you are elected as the outcome of an agenda:,Choose 1 player. That player is the elected player instead.,"Somehow, even after the Council had adjourned, none of them were any closer to understanding the strange and confusing events of the day.",Action Card,Base,Any,
Construction Rider,1,After an agenda is revealed:,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, place 1 space dock from your reinforcements on a planet you control.",The vote was nearly unanimous. The council would provide funding for the restoration. Ciel was furious.,Action Card,Base,Any,
Courageous to the End,1,After 1 of your ships is destroyed during a space combat:,"Roll 2 dice. For each result equal to or greater than that ship's combat value, your opponent must choose and destroy 1 of their ships.","Coughing up blood and covered in burns, Havvat collapsed against the rapidly overheating ship core. She smiled. She would be remembered.",Action Card,Base,Any,
Cripple Defenses,1,Action:,Choose 1 planet. Destroy each PDS on that planet.,"Titanic vines burst forth from the ground, wrapping themselves around the system's primary firing cylinder, breaking it free from its moorings, and bringing it crashing down upon the installation below.",Action Card,Base,Any,
Diplomacy Rider,1,After an agenda is revealed:,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, choose 1 system that contains a planet you control. Each other player places a command token from their reinforcements in that system.","Ciel evaluated the other senators. Weak, all of them. This was his game to win.",Action Card,Base,Any,
Direct Hit,4,After another player's ship uses Sustain Damage to cancel a hit produced by your units or abilities,Destroy that ship.,"(1) There it was! An opening! Neekuaq gestured wildly, a rare display for one normally quite reserved. ""Fire the main battery!""(2) The Loncara Ssodu's main battery flared to life, firing a volley directly into the flickering starboard shield of the Letnev dreadnought.(3) For a moment, it looked as if the dreadnought's shield would hold, but a moment later, the ship began to come apart where the attack had pierced its hull.(4) Neekuaq watched, satisfied, as the ship was wracked by a series of explosions from within, huge armored plates and other debris hurtling off into the darkness.",Action Card,Base,Any,
Disable,1,At the start of an invasion in a system that contains 1 or more of your opponents' PDS units:,Your opponents' PDS units lose Planetary Shield and Space Cannon during this invasion.,"""Ssruu has met their systems and fixed them."" Ssruu dropped a handful of ripped wires and broken circuitry on the pedestal before Q'uesh Sish. ""He will await his next task aboard his ship.""",Action Card,Base,Any,
Distinguished Councilor,1,After you cast votes on an outcome of an agenda:,Cast 5 additional votes for that outcome.,"Elder Junn was a wonder to behold. He knew the name of every senator, made small talk effortlessly, and commanded attention when he spoke. Magmus hated everything about him.",Action Card,Base,Any,
Economic Initiative,1,Action:,Ready each cultural planet you control.,"Large sum of Hacan currency flowed freely into the project, and somehow, defying all logic, the returns were even greater.",Action Card,Base,Any,
Emergency Repairs,1,At the start or end of a combat round:,Repair all of your units that have Sustain Damage in the active system.,"""What do you mean 'It's fine!?'"" Dahla said, nearly tripping over a damaged bulkhead as the ship rocked from the explosive barrage.",Action Card,Base,Any,
Experimental Battlestation,1,After another player moves ships into a system during a tactical action:,Choose 1 of your space docks that is either in or adjacent to that system. That space dock uses Space Cannon 5 (x3) against ships in the active system.,"""Arm the relay!"" Mendosa bared his fangs. ""The Saar will not submit!""",Action Card,Base,Any,
Fighter Prototype,1,At the start of the first round of a space combat:,Apply +2 to the result of each of your fighters' combat rolls during this combat round.,"Suffi vaulted excitedly off the prototype's sleek, azure wing, landing effortlessly in its cockpit. ""Let's see those damn snakes keep up with us now!""",Action Card,Base,Any,
Fire Team,1,After your ground forces make combat rolls during a round of ground combat:,Reroll any number of your dice.,"Grinning, Jael spun towards the familiar noise of heavy boots hitting the ground. Backup had arrived.",Action Card,Base,Any,
Flank Speed,4,After you activate a system:,Apply +1 to the move value of each of your ships during this tactical action.,"(1) Mendosa smirked. ""Don't ye fret now, girl. It sounds like ye've got somewhere ta be in a hurry, and it just se happens that I ken get ye there right quick.""(2) There was a low-pitched hum throughout the station and the gigantic, bulky constructions on the hull spat blue flame. Massive ion thrusters! So this was how the Saar moved the damned things.(3) Mendosa grinned at the young Mentak pilot's astonishment. ""Mobility-the Clan's greatest strength. Ye'd be amazed at how fast this thing ken go.""(4) With a sound like thunder and a flash of neon blue light, the thrusters accelerated full bore, nearly knocking Suffi off her feet.",Action Card,Base,Any,
Focused Research,1,Action:,Spend 4 trade goods to research 1 technology.,"Stunned, Rin looked over the data, scarcely able to believe what he was seeing. It was nothing short of a major breakthrough. The Headmaster would be pleased.",Action Card,Base,Any,
Frontline Deployment,1,Action:,Place 3 infantry from your reinforcements on 1 planet you control.,"The soldiers poured fire on the writhing mass, but as each tendril vaporized, two more took its place. Panic wormed into the troopers' minds; was the creature growing?",Action Card,Base,Any,
Ghost Ship,1,Action:,Place 1 destroyer from your reinforcements in a non-home system that contains a wormhole and does not contain other players' ships.,"Reports of Creuss vessels sighted in the area had surely been exaggerated. After all, the Creuss had no business this far from the Shaleri passage, and usually kept to themselves.",Action Card,Base,Any,
Imperial Rider,1,After an agenda is revealed:,"You cannot vote on this agenda. Predict aloud an outcome of this agenda. If your prediction is correct, gain 1 victory point.","In a sweeping victory that surprised absolutely no one, the Winnu representative singlehandedly elected himself to oversee the analysis of a recently uncovered Lazax data cache.",Action Card,Base,Any,
In The Silence Of Space,1,After you activate a system:,"Choose 1 system. During this tactical action, your ships in the chosen system can move through systems that contain other players' ships.","The Barony ships seemed to defy reality, bending light around them at impossible angles - naught but inky-black contours could be seen.",Action Card,Base,Any,
Industrial Initiative,1,Action:,Gain 1 trade good for each industrial planet you control.,"The Gashlai reactors proved to be extremely effective. With the conversion rate practically doubled, the factories' output was immense.",Action Card,Base,Any,
Infiltrate,1,When you gain control of a planet:,Replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.,The 1X had scarcely interfaced with the mainframe before it belonged to them completely.,Action Card,Base,Any,
